ID,index,middle,ring,y
1297,1871,1691,1668,7
1298,1870,1682,1667,7
1299,1867,1678,1656,7
1300,1870,1664,1654,7
1301,1868,1660,1652,7
1302,1868,1652,1654,7
1303,1866,1655,1657,7
1304,1870,1650,1660,7
1305,1880,1686,1660,7
1306,1881,1736,1666,7
1307,1882,1745,1665,7
1308,1877,1743,1662,7
1309,1881,1734,1662,7
1310,1899,1740,1669,7
1311,1922,1765,1694,7
1312,1925,1781,1727,7
1313,1933,1774,1746,7
1314,1936,1776,1747,7
1315,1934,1771,1752,7
1316,1928,1779,1752,7
1317,1925,1778,1752,7
1318,1923,1777,1744,7
1319,1919,1771,1740,7
1320,1922,1767,1739,7
1321,1920,1764,1734,7
1322,1919,1759,1735,7
1323,1915,1755,1729,7
1324,1913,1748,1724,7
1325,1904,1742,1719,7
1326,1904,1741,1717,7
1327,1902,1739,1712,7
1328,1904,1734,1716,7
1329,1904,1743,1717,7
1330,1899,1747,1716,7
1331,1894,1751,1718,7
1332,1899,1756,1721,7
1333,1900,1765,1722,7
1334,1903,1765,1734,7
1335,1912,1765,1743,7
1336,1911,1776,1748,7
1337,1910,1779,1757,7
1338,1907,1775,1748,7
1339,1911,1778,1748,7
1340,1920,1777,1741,7
1341,1925,1782,1745,7
1342,1931,1785,1743,7
1343,1953,1786,1744,7
1344,1952,1787,1746,7
1345,1942,1786,1737,7
1346,1934,1777,1732,7
1347,1932,1767,1731,7
1348,1937,1765,1728,7
1349,1931,1765,1725,7
1350,1931,1766,1730,7
1351,1928,1765,1723,7
1352,1931,1761,1723,7
1353,1932,1759,1719,7
1354,1935,1755,1720,7
1355,1935,1756,1721,7
1356,1929,1754,1720,7
1357,1929,1754,1723,7
1358,1926,1756,1719,7
1359,1926,1752,1715,7
1360,1925,1747,1720,7
1361,1925,1749,1720,7
1362,1922,1751,1719,7
1363,1922,1748,1722,7
1364,1918,1753,1717,7
1365,1916,1748,1715,7
1366,1920,1747,1712,7
1367,1923,1747,1713,7
1368,1916,1749,1712,7
1369,1914,1748,1717,7
1370,1913,1751,1709,7
1371,1909,1747,1708,7
1372,1912,1746,1708,7
1373,1919,1746,1702,7
1374,1912,1745,1708,7
1375,1910,1745,1715,7
1376,1911,1747,1718,7
1377,1906,1750,1709,7
1378,1910,1746,1705,7
1379,1911,1746,1701,7
1380,1914,1743,1705,7
1381,1910,1746,1708,7
1382,1908,1747,1715,7
1383,1909,1750,1709,7
1384,1907,1748,1707,7
1385,1912,1749,1709,7
1386,1913,1754,1706,7
1387,1911,1753,1714,7
1388,1911,1756,1721,7
1389,1910,1757,1715,7
1390,1905,1754,1715,7
1391,1910,1752,1710,7
1392,1911,1751,1708,7
1393,1908,1747,1708,7
1394,1908,1747,1708,7
1395,1908,1747,1710,7
1396,1907,1750,1707,7
1397,1905,1749,1706,7
1398,1905,1747,1707,7
1399,1906,1748,1703,7
1400,1907,1747,1705,7
1401,1906,1748,1707,7
1402,1906,1748,1707,7
1403,1903,1750,1706,7
1404,1905,1752,1709,7
1405,1905,1755,1705,7
1406,1909,1756,1704,7
1407,1904,1755,1707,7
1408,1904,1752,1711,7
1409,1904,1753,1707,7
1410,1901,1752,1708,7
1411,1905,1752,1708,7
1412,1903,1752,1704,7
1413,1904,1751,1705,7
1414,1902,1752,1705,7
1415,1901,1749,1707,7
1416,1898,1750,1703,7
1417,1899,1749,1704,7
1418,1898,1749,1701,7
1419,1899,1748,1699,7
1420,1900,1749,1702,7
1421,1898,1748,1705,7
1422,1897,1748,1698,7
1423,1895,1746,1699,7
1424,1899,1745,1701,7
1425,1897,1744,1693,7
1426,1898,1742,1695,7
1427,1898,1744,1695,7
1428,1897,1744,1696,7
1429,1895,1745,1696,7
1430,1896,1745,1696,7
1431,1894,1745,1694,7
1432,1895,1744,1698,7
1433,1901,1745,1697,7
1434,1899,1744,1696,7
1435,1897,1743,1697,7
1436,1898,1745,1695,7
1437,1900,1755,1702,7
1438,1900,1758,1708,7
1439,1901,1760,1708,7
1440,1899,1758,1707,7
1441,1898,1756,1709,7
1442,1897,1756,1705,7
1443,1893,1750,1701,7
1444,1396,894,897,8
1445,1398,896,896,8
1446,1397,896,895,8
1447,1395,896,897,8
1448,1397,894,896,8
1449,1394,896,896,8
1450,1394,896,896,8
1451,1392,895,895,8
1452,1396,896,896,8
1453,1398,898,894,8
1454,1403,899,896,8
1455,1404,903,897,8
1456,1403,904,899,8
1457,1406,905,898,8
1458,1405,908,898,8
1459,1411,911,898,8
1460,1415,914,899,8
1461,1412,917,898,8
1462,1413,918,902,8
1463,1414,920,900,8
1464,1410,919,899,8
1465,1415,918,899,8
1466,1417,918,898,8
1467,1420,927,902,8
1468,1418,934,902,8
1469,1417,932,903,8
1470,1417,932,899,8
1471,1416,927,899,8
1472,1418,926,898,8
1473,1422,924,897,8
1474,1418,927,900,8
1475,1419,927,901,8
1476,1418,931,899,8
1477,1415,931,900,8
1478,1422,933,899,8
1479,1444,936,898,8
1480,1459,937,901,8
1481,1438,940,903,8
1482,1423,944,902,8
1483,1397,945,902,8
1484,1365,951,900,8
1485,1341,954,901,8
1486,1331,954,904,8
1487,1344,956,906,8
1488,1362,956,908,8
1489,1356,957,907,8
1490,1336,953,905,8
1491,1306,951,904,8
1492,1291,950,902,8
1493,1283,950,903,8
1494,1268,951,904,8
1495,1265,953,903,8
1496,1264,950,903,8
1497,1295,949,903,8
1498,1302,948,902,8
1499,1286,949,904,8
1500,1275,950,906,8
1501,1273,951,906,8
1502,1279,953,906,8
1503,1298,951,905,8
1504,1296,952,904,8
1505,1298,952,906,8
1506,1313,953,908,8
1507,1316,955,908,8
1508,1354,958,911,8
1509,1365,965,908,8
1510,1365,967,909,8
1511,1367,969,908,8
1512,1379,969,913,8
1513,1384,970,914,8
1514,1374,967,915,8
1515,1363,965,916,8
1516,1363,961,912,8
1517,1365,958,909,8
1518,1364,952,911,8
1519,1365,951,908,8
1520,1358,947,906,8
1521,1356,942,907,8
1522,1352,939,904,8
1523,1355,933,900,8
1524,1356,932,902,8
1525,1357,933,902,8
1526,1354,938,903,8
1527,1353,937,905,8
1528,1351,932,903,8
1529,1351,923,902,8
1530,1350,920,901,8
1531,1350,918,902,8
1532,1346,923,901,8
1533,1345,922,903,8
1534,1345,944,903,8
1535,1343,967,901,8
1536,1341,967,899,8
1537,1342,964,898,8
1538,1357,960,901,8
1539,1349,956,901,8
1540,1350,965,904,8
1541,1351,958,902,8
1542,1353,952,902,8
1543,1348,950,906,8
1544,1345,946,907,8
1545,1346,946,894,8
1546,1343,943,890,8
1547,1347,943,906,8
1548,1348,943,913,8
1549,1351,943,916,8
1550,1353,946,918,8
1551,1353,951,917,8
1552,1353,952,917,8
1553,1357,953,916,8
1554,1359,956,912,8
1555,1358,955,914,8
1556,1362,960,913,8
1557,1359,971,918,8
1558,1358,979,922,8
1559,1362,979,930,8
1560,1364,981,947,8
1561,1368,980,1017,8
1562,1370,980,1160,8
1563,1371,981,1145,8
1564,1368,981,1110,8
1565,1368,981,1079,8
1566,1373,980,1031,8
1567,1377,978,980,8
1568,1375,976,972,8
1569,1376,977,965,8
1570,1372,977,962,8
1571,1367,980,961,8
1572,1366,978,961,8
1573,1366,975,958,8
1574,1366,972,958,8
1575,1369,974,956,8
1576,1362,973,953,8
1577,1359,976,953,8
1578,1357,970,948,8
1579,1360,964,947,8
1580,1361,958,945,8
1581,1361,953,946,8
1582,1362,955,946,8
1583,1359,954,947,8
1584,1358,952,947,8
1585,1362,952,944,8
1586,1362,954,943,8
1587,1365,953,942,8
1588,1363,954,943,8
1589,1361,969,946,8
1590,1361,975,945,8
1591,1359,977,943,8
1592,1362,974,943,8
1593,1363,978,938,8
1594,1372,984,945,8
1595,1383,1009,951,8
1596,1385,1024,964,8
1597,1378,1033,969,8
1598,1387,1022,964,8
1599,1395,1013,961,8
1600,1395,1006,952,8
1601,1396,1006,950,8
1602,1393,1007,951,8
1603,1387,1011,947,8
1604,1383,1005,945,8
1605,1383,998,943,8
1606,1382,989,940,8
1607,1379,983,940,8
1608,1378,978,939,8
1609,1377,978,938,8
1610,1373,975,939,8
1611,1376,973,939,8
1612,1375,973,939,8
1613,1374,971,941,8
1614,1379,975,942,8
1615,1374,978,941,8
1616,1370,986,941,8
1617,1373,985,939,8
1618,1373,985,937,8
1619,1375,984,939,8
1620,1378,986,941,8
1621,1376,991,941,8
1622,1377,993,945,8
1623,1375,996,944,8
1624,1377,994,943,8
1625,1375,994,943,8
1626,1377,994,944,8
1627,1378,993,944,8
1628,1377,994,945,8
1629,1378,994,947,8
1630,1377,994,944,8
1631,1378,993,944,8
1632,1378,994,946,8
1633,1380,997,948,8
1634,1377,997,947,8
1635,1378,996,950,8
1636,1380,997,948,8
1637,1383,998,948,8
1638,1376,996,949,8
1639,1375,985,945,8
1640,1368,968,942,8
1641,1364,951,940,8
1642,1357,937,934,8
1643,1348,917,933,8
1644,1348,907,931,8
1645,1346,896,928,8
1646,1349,889,929,8
1647,1347,885,930,8
1648,1345,884,932,8
1649,1338,882,928,8
1650,1333,879,922,8
1651,1328,877,919,8
1652,1327,875,917,8
1653,1322,871,916,8
1654,1316,871,916,8
1655,1308,868,913,8
1656,1291,867,911,8
1657,1279,872,907,8
1658,1274,868,905,8
1659,1271,867,905,8
1660,1269,867,906,8
1661,1293,868,909,8
1662,1286,861,914,8
1663,1278,859,906,8
1664,1275,859,896,8
1665,1278,855,891,8
1666,1278,853,889,8
1667,1282,854,890,8
1668,1287,854,896,8
1669,1294,857,896,8
1670,1298,870,896,8
1671,1297,880,896,8
1672,1300,904,894,8
1673,1294,954,890,8
1674,1289,980,889,8
1675,1289,994,891,8
1676,1291,980,889,8
1677,1290,999,888,8
1678,1292,1001,889,8
1679,1284,973,889,8
1680,1281,919,888,8
1681,1275,896,886,8
1682,1272,878,885,8
1683,1270,875,884,8
1684,1273,874,884,8
1685,1269,873,884,8
1686,1271,876,890,8
1687,1273,880,890,8
1688,1271,876,893,8
1689,1282,875,893,8
1690,1288,875,890,8
1691,1292,875,889,8
1692,1297,873,890,8
1693,1299,873,888,8
1694,1297,876,889,8
1695,1297,875,889,8
1696,1299,876,887,8
1697,1301,876,889,8
1698,1300,877,888,8
1699,1301,877,890,8
1700,1301,882,888,8
1701,1301,885,887,8
1702,1305,888,887,8
1703,1307,893,886,8
